brand,category,cpu,ram,ram_type,storage,ssd,ssd_size,graphics_card,graphics_card_size,size_inch,os,battery_wh,weight_kg,price
Acer,Gaming,Ryzen 5,4,DDR4,2TB,Yes,256GB,Nvidia,8GB,15.6,Windows 11,45,2.0,125622
MSI,Student,Ryzen 3,12,DDR5,256GB,Yes,512GB,Integrated,,16.0,Windows 11,45,1.8,59659
Acer,Home,Ryzen 5,4,DDR4,2TB,Yes,256GB,AMD,4GB,14.0,Windows 10,80,1.8,93531
Acer,Student,Ryzen 3,24,DDR5,2TB,Yes,1TB,Integrated,,14.0,Windows 10,70,2.3,101224
Asus,Business,Ryzen 5,12,DDR4,2TB,Yes,512GB,Nvidia,6GB,13.0,Windows 10,60,1.2,120569
Acer,Student,Ryzen 5,4,DDR5,1TB,Yes,512GB,Nvidia,8GB,15.6,Windows 10,80,2.3,96521
Acer,Home,Ryzen 5,12,DDR3,1TB,Yes,512GB,Integrated,,16.0,Windows 11,80,1.4,77250
Acer,Business,Ryzen 5,8,DDR3,512GB,Yes,1TB,Integrated,,15.6,Windows 11,80,2.3,73991
Apple,Business,Apple M2,24,Unified,2TB,Yes,256GB,Integrated,,15.6,macOS,55,2.6,182640
Lenovo,Business,Ryzen 7,24,DDR3,512GB,Yes,1TB,Integrated,,13.0,Windows 11,80,1.8,107598
MSI,Home,Intel i5,12,DDR4,1TB,Yes,2TB,Integrated,,14.0,Windows 11,70,1.6,78627
Samsung,Business,Intel i3,16,DDR5,512GB,Yes,512GB,Integrated,,13.0,Windows 11,45,1.8,74788
Dell,Home,Ryzen 5,8,DDR3,2TB,Yes,1TB,Nvidia,8GB,15.6,Windows 11,55,2.6,113975
Asus,Student,Ryzen 5,16,DDR3,2TB,Yes,1TB,Nvidia,8GB,14.0,Windows 11,50,1.8,125362
HP,Student,Ryzen 3,4,DDR5,2TB,Yes,2TB,Nvidia,8GB,14.0,Windows 10,80,1.2,103069
Dell,Gaming,Ryzen 5,24,DDR5,2TB,No,,Integrated,,14.0,Windows 10,50,2.0,119124
Apple,Home,Apple M2,4,Unified,2TB,Yes,512GB,Nvidia,4GB,16.0,macOS,55,2.3,166960
Lenovo,Business,Ryzen 7,8,DDR4,1TB,Yes,256GB,Integrated,,16.0,Windows 10,60,1.4,91600
Apple,Gaming,Apple M1,16,Unified,256GB,Yes,1TB,Nvidia,4GB,14.0,macOS,60,2.3,162572
HP,Home,Ryzen 7,16,DDR5,2TB,Yes,2TB,Nvidia,2GB,13.0,Windows 11,60,1.8,126947
HP,Student,Ryzen 3,16,DDR4,2TB,Yes,256GB,Integrated,,15.6,Windows 10,70,2.6,84915
Lenovo,Student,Ryzen 3,8,DDR3,2TB,Yes,256GB,Integrated,,13.0,Windows 11,60,2.3,76026
Dell,Student,Intel i7,16,DDR5,1TB,Yes,1TB,AMD,2GB,14.0,Windows 11,50,2.0,106362
HP,Gaming,Intel i7,12,DDR5,1TB,No,,Integrated,,15.6,Windows 11,60,2.3,98603
Acer,Gaming,Ryzen 7,24,DDR3,1TB,Yes,1TB,AMD,2GB,14.0,Windows 10,70,1.6,133215
HP,Student,Intel i7,24,DDR4,512GB,No,,AMD,6GB,15.6,Windows 11,60,2.6,115975
Lenovo,Business,Intel i5,4,DDR4,256GB,Yes,1TB,Integrated,,14.0,Windows 11,55,2.0,63970
Asus,Gaming,Intel i7,24,DDR4,256GB,Yes,512GB,Nvidia,6GB,13.0,Windows 11,60,2.3,133809
MSI,Home,Intel i7,16,DDR3,512GB,Yes,512GB,AMD,4GB,14.0,Windows 10,80,2.3,103736
Lenovo,Home,Ryzen 5,12,DDR5,256GB,Yes,256GB,Nvidia,4GB,15.6,Windows 11,45,1.4,88864
Dell,Business,Ryzen 3,4,DDR5,1TB,Yes,256GB,Integrated,,13.0,Windows 10,60,1.2,66899
Dell,Home,Ryzen 5,16,DDR5,1TB,Yes,2TB,Nvidia,2GB,16.0,Windows 10,80,1.4,105824
Apple,Home,Apple M2,16,Unified,1TB,Yes,512GB,Integrated,,16.0,macOS,70,1.6,155286
Acer,Student,Ryzen 5,12,DDR4,1TB,Yes,256GB,Nvidia,4GB,16.0,Windows 10,45,1.6,102174
Apple,Business,Apple M1,8,Unified,256GB,Yes,1TB,Integrated,,16.0,macOS,55,2.3,124627
Lenovo,Gaming,Intel i3,12,DDR3,1TB,Yes,2TB,Integrated,,15.6,Windows 10,70,1.4,86677
Lenovo,Student,Intel i5,8,DDR4,512GB,Yes,512GB,Integrated,,16.0,Windows 10,80,2.0,64415
Acer,Gaming,Intel i7,12,DDR4,512GB,Yes,1TB,Nvidia,6GB,16.0,Windows 11,55,1.8,123614
Samsung,Business,Intel i3,16,DDR3,1TB,Yes,512GB,Nvidia,6GB,13.0,Windows 11,80,1.4,108708
Acer,Student,Intel i7,16,DDR4,2TB,Yes,512GB,Nvidia,8GB,15.6,Windows 10,45,1.2,133991
Lenovo,Student,Ryzen 7,24,DDR5,2TB,No,,Nvidia,8GB,16.0,Windows 11,50,1.6,145970
Samsung,Home,Intel i3,12,DDR5,1TB,Yes,2TB,Nvidia,2GB,16.0,Windows 10,50,2.3,87606
MSI,Business,Intel i5,12,DDR5,512GB,Yes,2TB,Integrated,,15.6,Windows 10,70,2.0,76387
HP,Gaming,Intel i3,16,DDR4,512GB,Yes,2TB,Integrated,,15.6,Windows 11,55,1.4,86551
Acer,Student,Ryzen 5,4,DDR3,2TB,Yes,2TB,Nvidia,2GB,15.6,Windows 10,45,2.0,96581
HP,Student,Ryzen 5,24,DDR4,1TB,Yes,256GB,AMD,2GB,14.0,Windows 11,70,2.6,107718
Apple,Gaming,Apple M1,16,Unified,1TB,Yes,512GB,AMD,2GB,14.0,macOS,80,2.0,166783
Apple,Business,Apple M1,16,Unified,1TB,Yes,2TB,Integrated,,14.0,macOS,55,1.8,143232
Acer,Gaming,Ryzen 5,16,DDR5,512GB,Yes,1TB,Nvidia,4GB,14.0,Windows 11,50,1.4,114527
Lenovo,Home,Intel i3,24,DDR3,1TB,No,,Integrated,,15.6,Windows 10,50,2.3,82710
Dell,Student,Intel i5,8,DDR4,512GB,Yes,256GB,Integrated,,16.0,Windows 11,45,2.6,64072
HP,Business,Ryzen 7,4,DDR4,2TB,Yes,512GB,Integrated,,16.0,Windows 10,70,2.6,91021
Asus,Gaming,Ryzen 5,8,DDR3,256GB,No,,Nvidia,6GB,15.6,Windows 10,60,1.4,97723
Asus,Student,Ryzen 3,4,DDR5,2TB,Yes,2TB,Nvidia,8GB,13.0,Windows 11,55,1.6,100539
Asus,Business,Ryzen 7,4,DDR3,2TB,Yes,256GB,Nvidia,6GB,15.6,Windows 11,45,1.4,119039
Lenovo,Home,Intel i5,16,DDR3,256GB,Yes,512GB,Nvidia,6GB,15.6,Windows 10,70,1.8,97290
Samsung,Gaming,Intel i5,8,DDR5,1TB,Yes,256GB,Nvidia,2GB,16.0,Windows 10,50,1.6,106306
MSI,Student,Ryzen 5,4,DDR3,1TB,Yes,2TB,Integrated,,14.0,Windows 11,60,1.2,67419
Samsung,Gaming,Intel i5,12,DDR3,512GB,Yes,256GB,Integrated,,16.0,Windows 10,60,1.8,86396
Apple,Gaming,Apple M1,12,Unified,2TB,Yes,1TB,Integrated,,15.6,macOS,70,2.3,159868
Asus,Business,Ryzen 3,8,DDR3,512GB,Yes,512GB,Integrated,,13.0,Windows 10,80,1.2,67875
Samsung,Student,Ryzen 5,8,DDR3,1TB,Yes,1TB,Integrated,,16.0,Windows 10,80,2.0,73259
Acer,Gaming,Intel i7,8,DDR4,256GB,Yes,2TB,AMD,4GB,14.0,Windows 11,45,1.4,104198
HP,Gaming,Intel i5,4,DDR4,2TB,Yes,1TB,Integrated,,16.0,Windows 11,60,1.4,90712
Acer,Business,Intel i3,24,DDR5,1TB,Yes,512GB,Integrated,,16.0,Windows 11,70,1.8,97433
Asus,Student,Ryzen 5,12,DDR3,2TB,Yes,512GB,Integrated,,16.0,Windows 11,45,1.2,89509
Acer,Gaming,Intel i7,16,DDR4,256GB,No,,Nvidia,4GB,16.0,Windows 11,70,1.4,114160
Dell,Home,Intel i5,24,DDR5,512GB,Yes,256GB,Nvidia,6GB,14.0,Windows 11,80,2.0,113366
MSI,Gaming,Intel i3,24,DDR5,512GB,Yes,512GB,AMD,8GB,14.0,Windows 10,55,1.2,122283
Acer,Business,Ryzen 5,16,DDR4,1TB,Yes,1TB,Integrated,,15.6,Windows 11,80,2.0,93473
Acer,Gaming,Ryzen 7,16,DDR3,512GB,Yes,512GB,Nvidia,4GB,16.0,Windows 10,50,2.3,125432
Samsung,Gaming,Intel i5,8,DDR3,1TB,Yes,2TB,Integrated,,14.0,Windows 11,50,1.8,84166
Acer,Student,Intel i3,12,DDR5,256GB,Yes,2TB,Integrated,,16.0,Windows 10,55,2.6,57022
Apple,Gaming,Apple M1,12,Unified,1TB,No,,Integrated,,15.6,macOS,45,2.3,143821
Samsung,Gaming,Ryzen 7,8,DDR4,256GB,Yes,1TB,Integrated,,16.0,Windows 11,80,1.8,86454
HP,Home,Intel i7,24,DDR4,1TB,Yes,1TB,Nvidia,2GB,13.0,Windows 11,45,2.3,125977
Dell,Business,Intel i5,12,DDR5,256GB,No,,Nvidia,8GB,16.0,Windows 11,70,2.0,103468
Samsung,Home,Ryzen 5,4,DDR5,256GB,Yes,512GB,Integrated,,16.0,Windows 10,60,2.3,52326
MSI,Business,Ryzen 3,16,DDR4,256GB,Yes,512GB,Integrated,,15.6,Windows 10,45,1.6,73376
HP,Business,Intel i7,12,DDR5,1TB,No,,Integrated,,16.0,Windows 11,45,1.6,90753
Acer,Gaming,Intel i5,16,DDR5,1TB,Yes,512GB,Nvidia,2GB,15.6,Windows 11,55,2.0,119409
Dell,Student,Intel i7,4,DDR5,2TB,Yes,2TB,AMD,8GB,14.0,Windows 10,55,2.6,113794
Apple,Student,Apple M2,16,Unified,1TB,Yes,512GB,Integrated,,13.0,macOS,50,2.0,152543
Acer,Gaming,Ryzen 3,4,DDR3,256GB,Yes,2TB,Nvidia,4GB,15.6,Windows 10,70,1.6,86250
Lenovo,Business,Intel i3,24,DDR5,256GB,Yes,512GB,Integrated,,13.0,Windows 11,50,2.0,82269
Acer,Home,Ryzen 3,8,DDR5,512GB,Yes,2TB,AMD,4GB,14.0,Windows 10,45,1.6,73996
HP,Business,Ryzen 3,24,DDR5,512GB,Yes,2TB,AMD,8GB,15.6,Windows 11,80,2.6,114981
Acer,Business,Intel i7,12,DDR3,1TB,Yes,512GB,Integrated,,14.0,Windows 11,70,2.0,92054
Asus,Business,Ryzen 5,24,DDR3,512GB,Yes,512GB,AMD,2GB,16.0,Windows 11,70,1.8,111072
Samsung,Home,Intel i5,16,DDR5,256GB,Yes,2TB,Nvidia,4GB,13.0,Windows 10,80,1.6,92535
Acer,Student,Ryzen 7,24,DDR5,2TB,Yes,512GB,Nvidia,4GB,16.0,Windows 10,55,2.0,141711
Acer,Student,Intel i5,24,DDR3,1TB,Yes,256GB,Nvidia,6GB,13.0,Windows 11,45,2.0,119521
Samsung,Gaming,Ryzen 7,24,DDR3,512GB,Yes,256GB,AMD,8GB,13.0,Windows 10,55,1.2,137771
Samsung,Business,Ryzen 3,16,DDR5,512GB,Yes,512GB,Integrated,,15.6,Windows 11,50,2.3,77525
Acer,Business,Intel i3,16,DDR4,512GB,Yes,256GB,Integrated,,13.0,Windows 10,70,1.6,73167
HP,Home,Ryzen 7,8,DDR3,256GB,No,,AMD,2GB,15.6,Windows 11,60,1.6,78226
MSI,Home,Intel i5,24,DDR5,2TB,Yes,512GB,Nvidia,2GB,14.0,Windows 10,70,1.6,126702
Lenovo,Business,Ryzen 7,8,DDR5,2TB,Yes,256GB,Nvidia,2GB,15.6,Windows 10,55,1.2,118859
Lenovo,Gaming,Intel i3,24,DDR3,512GB,No,,Nvidia,8GB,16.0,Windows 11,60,1.2,126478
Asus,Student,Intel i5,8,DDR3,2TB,Yes,2TB,Integrated,,13.0,Windows 11,60,2.6,83403
Asus,Home,Ryzen 7,24,DDR5,2TB,Yes,512GB,Integrated,,14.0,Windows 11,60,2.6,114622
Acer,Business,Ryzen 3,4,DDR4,2TB,Yes,256GB,Integrated,,16.0,Windows 11,70,1.8,75505
Apple,Student,Apple M1,24,Unified,256GB,Yes,256GB,Integrated,,14.0,macOS,80,1.6,136392
HP,Home,Intel i7,12,DDR3,256GB,Yes,2TB,Nvidia,4GB,15.6,Windows 11,80,2.3,96366
Dell,Home,Ryzen 3,12,DDR3,256GB,Yes,2TB,Integrated,,13.0,Windows 10,45,1.8,58687
Asus,Student,Intel i3,12,DDR5,512GB,No,,Nvidia,6GB,16.0,Windows 10,45,1.4,84160
Dell,Student,Ryzen 3,12,DDR3,2TB,Yes,2TB,Nvidia,8GB,15.6,Windows 11,50,2.6,113999
Acer,Home,Ryzen 7,16,DDR3,512GB,Yes,512GB,Integrated,,13.0,Windows 11,45,1.4,88002
Asus,Gaming,Ryzen 5,12,DDR3,2TB,Yes,1TB,Integrated,,15.6,Windows 11,45,2.6,100978
Samsung,Gaming,Intel i3,8,DDR3,256GB,Yes,256GB,Integrated,,13.0,Windows 11,60,1.4,65684
Asus,Gaming,Ryzen 3,8,DDR4,2TB,Yes,256GB,AMD,4GB,14.0,Windows 11,80,1.6,104358
HP,Gaming,Intel i7,12,DDR3,2TB,Yes,256GB,Integrated,,14.0,Windows 11,55,2.0,109521
Dell,Gaming,Ryzen 7,16,DDR4,256GB,Yes,256GB,Nvidia,6GB,14.0,Windows 10,50,2.0,124601
HP,Home,Ryzen 7,24,DDR4,256GB,Yes,512GB,Nvidia,6GB,15.6,Windows 10,45,1.4,119850
Dell,Home,Ryzen 3,4,DDR5,2TB,Yes,256GB,Nvidia,2GB,13.0,Windows 10,45,2.3,89902
Samsung,Student,Ryzen 7,8,DDR4,2TB,Yes,1TB,Nvidia,8GB,16.0,Windows 11,50,1.8,125394
MSI,Gaming,Intel i5,8,DDR5,2TB,No,,Nvidia,6GB,13.0,Windows 11,60,2.6,118456
Lenovo,Home,Ryzen 3,24,DDR5,512GB,No,,Integrated,,15.6,Windows 11,50,1.8,78449
Samsung,Business,Ryzen 7,16,DDR4,2TB,Yes,1TB,AMD,4GB,14.0,Windows 11,50,1.4,130837
Dell,Gaming,Ryzen 7,24,DDR4,2TB,Yes,1TB,Integrated,,14.0,Windows 11,60,1.2,132446
Apple,Student,Apple M2,4,Unified,512GB,Yes,512GB,AMD,8GB,14.0,macOS,60,1.2,156684
Dell,Business,Ryzen 5,24,DDR4,512GB,Yes,512GB,Integrated,,15.6,Windows 10,60,1.4,94069
Apple,Student,Apple M1,4,Unified,256GB,Yes,256GB,Nvidia,2GB,15.6,macOS,45,1.6,128922
Dell,Gaming,Intel i5,12,DDR3,1TB,Yes,2TB,AMD,4GB,15.6,Windows 11,55,1.2,110602
Lenovo,Gaming,Intel i5,24,DDR3,2TB,Yes,2TB,AMD,6GB,14.0,Windows 11,45,2.3,139201
Apple,Home,Apple M1,8,Unified,2TB,Yes,2TB,Integrated,,13.0,macOS,70,2.3,135968
Apple,Gaming,Apple M2,4,Unified,2TB,No,,AMD,6GB,13.0,macOS,55,1.2,175451
Lenovo,Student,Ryzen 7,4,DDR3,512GB,No,,Integrated,,13.0,Windows 11,55,2.0,66052
HP,Business,Intel i5,8,DDR4,1TB,No,,Nvidia,2GB,16.0,Windows 11,55,1.4,91426
Dell,Student,Intel i7,12,DDR4,256GB,Yes,2TB,AMD,6GB,13.0,Windows 11,50,2.6,99113
HP,Home,Intel i7,16,DDR3,2TB,Yes,1TB,AMD,6GB,15.6,Windows 11,70,2.6,124477
Samsung,Student,Intel i5,12,DDR5,512GB,Yes,1TB,Integrated,,16.0,Windows 11,80,1.2,72457
MSI,Home,Intel i3,8,DDR3,256GB,Yes,256GB,Integrated,,14.0,Windows 10,45,2.6,50617
HP,Home,Ryzen 7,4,DDR5,512GB,Yes,2TB,AMD,6GB,13.0,Windows 11,70,1.2,87460
Lenovo,Gaming,Ryzen 7,4,DDR3,256GB,Yes,512GB,Integrated,,13.0,Windows 10,60,1.6,82123
Dell,Business,Intel i5,8,DDR5,2TB,Yes,256GB,Integrated,,13.0,Windows 11,45,1.4,86619
Acer,Gaming,Ryzen 5,4,DDR5,256GB,Yes,1TB,Nvidia,4GB,14.0,Windows 10,60,2.3,94852
Acer,Business,Ryzen 5,16,DDR3,1TB,Yes,512GB,AMD,6GB,15.6,Windows 11,50,1.2,109504
Asus,Business,Intel i7,16,DDR5,256GB,Yes,2TB,Integrated,,13.0,Windows 10,55,2.0,88961
Asus,Student,Ryzen 7,12,DDR4,2TB,Yes,1TB,Nvidia,6GB,14.0,Windows 11,50,2.0,123397
HP,Student,Ryzen 3,12,DDR4,2TB,Yes,2TB,AMD,4GB,16.0,Windows 11,60,1.2,96142
MSI,Business,Ryzen 7,12,DDR4,256GB,Yes,512GB,Integrated,,14.0,Windows 10,50,1.2,81134
Samsung,Business,Intel i5,8,DDR4,256GB,Yes,512GB,Integrated,,15.6,Windows 11,50,1.4,67985
Apple,Business,Apple M2,8,Unified,2TB,No,,Integrated,,13.0,macOS,45,1.6,156783
Apple,Student,Apple M1,8,Unified,2TB,Yes,2TB,AMD,6GB,14.0,macOS,55,2.3,156544
Samsung,Home,Ryzen 5,12,DDR5,1TB,Yes,512GB,Integrated,,16.0,Windows 10,45,1.2,78662
MSI,Business,Intel i5,8,DDR4,1TB,Yes,2TB,Nvidia,6GB,15.6,Windows 10,80,1.4,103041
MSI,Gaming,Ryzen 7,16,DDR3,2TB,Yes,1TB,AMD,2GB,16.0,Windows 10,50,2.0,132634
Asus,Business,Ryzen 3,16,DDR3,2TB,Yes,1TB,Nvidia,6GB,13.0,Windows 11,60,1.4,119829
HP,Student,Intel i7,8,DDR5,1TB,No,,AMD,6GB,14.0,Windows 11,80,1.4,99895
Asus,Student,Ryzen 7,8,DDR5,1TB,Yes,2TB,Integrated,,13.0,Windows 10,55,1.6,80673
Lenovo,Student,Intel i3,16,DDR5,256GB,Yes,512GB,Integrated,,16.0,Windows 10,70,1.4,66864
Apple,Student,Apple M1,12,Unified,2TB,Yes,2TB,Integrated,,14.0,macOS,55,1.2,140015
HP,Student,Ryzen 5,8,DDR4,1TB,Yes,2TB,AMD,8GB,15.6,Windows 11,60,1.4,97675
HP,Student,Intel i7,4,DDR5,512GB,Yes,256GB,Integrated,,13.0,Windows 10,70,1.4,70847
Dell,Home,Intel i7,4,DDR4,2TB,Yes,256GB,AMD,2GB,16.0,Windows 11,80,2.6,99243
Lenovo,Home,Intel i5,4,DDR3,1TB,Yes,256GB,AMD,2GB,13.0,Windows 11,80,2.6,81712
Dell,Business,Intel i3,8,DDR3,512GB,No,,Integrated,,15.6,Windows 10,55,1.8,62196
Samsung,Home,Ryzen 5,4,DDR4,2TB,Yes,256GB,Integrated,,13.0,Windows 11,50,1.4,77773
Apple,Home,Apple M2,4,Unified,1TB,Yes,512GB,Integrated,,14.0,macOS,70,1.2,137141
Acer,Student,Ryzen 5,16,DDR5,512GB,Yes,1TB,Integrated,,15.6,Windows 11,55,1.8,74976
Acer,Business,Intel i3,24,DDR5,2TB,Yes,256GB,Integrated,,13.0,Windows 11,80,2.6,103684
Dell,Student,Ryzen 7,12,DDR5,1TB,Yes,512GB,AMD,6GB,14.0,Windows 10,70,1.2,108538
HP,Gaming,Intel i5,16,DDR3,2TB,Yes,2TB,Nvidia,4GB,16.0,Windows 11,60,2.0,132888
Acer,Gaming,Intel i3,4,DDR3,256GB,Yes,1TB,Nvidia,6GB,16.0,Windows 10,60,2.3,90653
Lenovo,Home,Intel i3,8,DDR3,2TB,Yes,1TB,Integrated,,16.0,Windows 11,80,1.2,73436
HP,Home,Intel i7,16,DDR4,512GB,Yes,256GB,Nvidia,8GB,14.0,Windows 10,45,1.2,115705
Dell,Business,Ryzen 5,4,DDR4,2TB,Yes,512GB,Integrated,,16.0,Windows 11,80,1.8,80244
HP,Business,Ryzen 3,8,DDR4,256GB,Yes,256GB,AMD,6GB,15.6,Windows 11,80,1.8,80660
Acer,Home,Ryzen 7,8,DDR3,2TB,Yes,256GB,Nvidia,8GB,16.0,Windows 11,50,2.3,121387
Acer,Student,Intel i3,16,DDR4,512GB,Yes,1TB,Nvidia,4GB,15.6,Windows 11,80,2.3,91840
Samsung,Gaming,Ryzen 5,16,DDR4,1TB,Yes,512GB,Nvidia,8GB,16.0,Windows 11,55,1.8,128708
Acer,Gaming,Intel i7,16,DDR5,2TB,Yes,512GB,Nvidia,6GB,14.0,Windows 11,70,1.6,146425
Lenovo,Gaming,Intel i5,16,DDR3,256GB,No,,AMD,2GB,13.0,Windows 11,55,2.0,99444
Lenovo,Gaming,Ryzen 7,4,DDR4,1TB,Yes,1TB,AMD,8GB,16.0,Windows 11,50,2.0,116876
Samsung,Home,Intel i5,8,DDR3,256GB,Yes,256GB,AMD,2GB,15.6,Windows 11,50,2.6,74326
Acer,Gaming,Ryzen 5,4,DDR3,256GB,Yes,256GB,Integrated,,13.0,Windows 10,45,1.6,70707
Asus,Business,Intel i7,24,DDR3,1TB,Yes,1TB,Integrated,,16.0,Windows 11,70,2.0,112919
HP,Business,Intel i3,12,DDR4,256GB,Yes,2TB,Nvidia,8GB,13.0,Windows 11,60,2.3,99809
MSI,Business,Intel i3,16,DDR3,256GB,Yes,256GB,Integrated,,13.0,Windows 11,60,1.8,71763
Dell,Business,Intel i3,24,DDR4,2TB,Yes,2TB,Integrated,,14.0,Windows 11,70,2.6,107531
HP,Business,Intel i3,12,DDR4,2TB,Yes,256GB,Integrated,,13.0,Windows 10,80,2.0,88023
Lenovo,Business,Intel i7,12,DDR3,1TB,Yes,512GB,Nvidia,2GB,14.0,Windows 10,60,1.8,113040
HP,Business,Ryzen 7,4,DDR4,1TB,Yes,1TB,Nvidia,8GB,14.0,Windows 10,80,1.8,117740
Asus,Home,Intel i5,24,DDR3,256GB,Yes,1TB,Nvidia,8GB,13.0,Windows 10,80,2.0,118683
MSI,Home,Ryzen 3,12,DDR3,2TB,Yes,2TB,Integrated,,13.0,Windows 11,55,2.3,80929
Apple,Business,Apple M1,8,Unified,256GB,Yes,256GB,AMD,4GB,16.0,macOS,80,2.0,139058
Acer,Business,Intel i3,16,DDR5,256GB,Yes,512GB,Integrated,,15.6,Windows 10,50,2.3,74746
Samsung,Home,Intel i7,4,DDR5,256GB,Yes,1TB,AMD,2GB,15.6,Windows 10,50,1.6,76996
Apple,Gaming,Apple M1,16,Unified,2TB,Yes,256GB,Integrated,,13.0,macOS,50,2.3,161040
Lenovo,Home,Ryzen 3,8,DDR5,512GB,Yes,2TB,Nvidia,6GB,14.0,Windows 10,55,1.8,82488
Samsung,Home,Intel i7,8,DDR3,1TB,Yes,512GB,Nvidia,4GB,16.0,Windows 11,70,2.6,105174
Samsung,Gaming,Intel i5,4,DDR4,2TB,Yes,2TB,Integrated,,13.0,Windows 11,80,2.6,88192
HP,Student,Intel i7,16,DDR4,1TB,Yes,1TB,Nvidia,8GB,16.0,Windows 11,60,2.6,127639
Lenovo,Business,Intel i7,16,DDR5,1TB,Yes,256GB,Integrated,,15.6,Windows 10,55,2.6,99367
Dell,Student,Intel i7,8,DDR5,1TB,No,,Integrated,,15.6,Windows 10,70,2.3,77371
Acer,Student,Ryzen 5,8,DDR5,512GB,Yes,1TB,Integrated,,15.6,Windows 11,80,2.0,66529
MSI,Gaming,Ryzen 3,12,DDR3,512GB,Yes,1TB,Integrated,,16.0,Windows 10,55,1.4,79208
Apple,Student,Apple M2,24,Unified,1TB,Yes,256GB,Integrated,,16.0,macOS,70,1.8,162026
Asus,Gaming,Intel i7,24,DDR4,1TB,Yes,2TB,Integrated,,13.0,Windows 11,60,2.3,121010
Asus,Business,Ryzen 3,4,DDR4,512GB,Yes,1TB,Nvidia,2GB,13.0,Windows 11,45,1.6,76880
Acer,Gaming,Intel i3,4,DDR3,256GB,Yes,1TB,Nvidia,6GB,15.6,Windows 11,60,1.4,87888
Dell,Student,Ryzen 5,8,DDR3,256GB,Yes,1TB,Nvidia,4GB,16.0,Windows 11,50,2.0,86048
HP,Gaming,Intel i3,4,DDR4,256GB,Yes,2TB,Integrated,,16.0,Windows 11,70,1.4,60421
Dell,Student,Intel i3,12,DDR3,2TB,Yes,2TB,Integrated,,14.0,Windows 10,45,2.6,77671
Samsung,Business,Ryzen 3,16,DDR5,2TB,Yes,1TB,Integrated,,16.0,Windows 10,60,2.6,95292
MSI,Student,Intel i3,24,DDR5,2TB,Yes,512GB,Integrated,,13.0,Windows 11,70,2.6,100725
Samsung,Gaming,Ryzen 3,12,DDR3,1TB,Yes,512GB,Nvidia,4GB,16.0,Windows 10,70,1.8,106198
Dell,Home,Ryzen 3,24,DDR4,1TB,Yes,256GB,AMD,8GB,16.0,Windows 10,45,1.8,114088
MSI,Gaming,Intel i7,16,DDR4,512GB,Yes,512GB,Nvidia,8GB,15.6,Windows 11,45,2.6,131872
Asus,Gaming,Intel i3,4,DDR4,1TB,Yes,1TB,Integrated,,16.0,Windows 10,55,2.6,71523
Dell,Business,Intel i7,4,DDR5,512GB,Yes,256GB,AMD,4GB,15.6,Windows 10,70,1.8,92467
Lenovo,Gaming,Intel i3,4,DDR5,256GB,Yes,1TB,Nvidia,4GB,13.0,Windows 10,60,2.0,85022
Lenovo,Gaming,Ryzen 5,4,DDR3,1TB,Yes,1TB,AMD,2GB,13.0,Windows 10,60,1.4,93368
HP,Business,Intel i5,24,DDR3,1TB,Yes,1TB,AMD,8GB,14.0,Windows 10,80,1.2,130844
Dell,Gaming,Ryzen 7,16,DDR3,512GB,Yes,2TB,AMD,8GB,16.0,Windows 10,70,2.0,130949
Samsung,Business,Ryzen 7,24,DDR5,2TB,Yes,2TB,Integrated,,16.0,Windows 11,50,2.6,120298
Dell,Home,Ryzen 5,4,DDR4,2TB,Yes,1TB,Integrated,,15.6,Windows 11,60,1.4,73131
Dell,Business,Ryzen 7,24,DDR4,512GB,Yes,1TB,Integrated,,14.0,Windows 10,45,1.4,106596
Acer,Business,Ryzen 3,16,DDR5,1TB,Yes,2TB,Integrated,,13.0,Windows 11,50,1.4,86243
Asus,Student,Intel i7,16,DDR4,2TB,Yes,2TB,Integrated,,15.6,Windows 10,55,2.6,104198
Apple,Home,Apple M2,4,Unified,1TB,Yes,1TB,Nvidia,4GB,13.0,macOS,45,1.4,160825
Acer,Home,Intel i3,24,DDR5,1TB,Yes,2TB,Integrated,,16.0,Windows 10,55,2.0,87675
Acer,Student,Intel i3,16,DDR4,2TB,Yes,256GB,AMD,2GB,14.0,Windows 10,60,1.6,102411
Apple,Student,Apple M1,8,Unified,512GB,Yes,2TB,Integrated,,14.0,macOS,45,1.2,118481
HP,Gaming,Intel i5,8,DDR5,2TB,Yes,512GB,Integrated,,15.6,Windows 11,50,1.2,93542
Lenovo,Home,Intel i7,8,DDR3,2TB,No,,Integrated,,16.0,Windows 11,45,1.2,89483
Apple,Student,Apple M2,16,Unified,1TB,Yes,1TB,AMD,6GB,14.0,macOS,80,2.3,176870
Acer,Gaming,Intel i5,16,DDR4,1TB,Yes,1TB,AMD,8GB,13.0,Windows 10,70,1.6,123110
Asus,Gaming,Ryzen 5,8,DDR3,2TB,No,,Nvidia,6GB,16.0,Windows 10,80,1.8,120434
MSI,Student,Intel i3,24,DDR3,2TB,No,,AMD,6GB,13.0,Windows 10,60,1.8,115540
Lenovo,Business,Ryzen 3,12,DDR4,256GB,Yes,2TB,Nvidia,8GB,16.0,Windows 10,70,1.4,99320
Samsung,Gaming,Intel i7,8,DDR5,1TB,Yes,1TB,AMD,2GB,13.0,Windows 10,45,1.2,107069
Lenovo,Business,Ryzen 3,8,DDR5,256GB,Yes,512GB,Integrated,,15.6,Windows 10,55,2.3,63616
